Sexe,PaysNat.,Doublement,DateEntrée,DateSortie,AdhesionTransport,CodeRegime,LibRegime,CleGestionMatEnseignee1,LibMatEnseignee1,CleGestionMatEnseignee2,LibMatEnseignee2,CodeModaliteElect2,LibModaliteElect2,CleGestionMatEnseignee3,LibMatEnseignee3,CodeModaliteElect3,LibModaliteElect3,CleGestionMatEnseignee4,LibMatEnseignee4,CodeModaliteElect4,LibModaliteElect4,CleGestionMatEnseigne5,LibMatEnseignee5,CodeModaliteElect5,LibModaliteElect5,CleGestionMatEnseigne6,LibMatEnseignee6,CodeModaliteElect6,LibModaliteElect6
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LITSO,LITTÉRATURE  SOCIETE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,CONGO,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,LCALA,LCA LATIN,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,CONGO,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,A-VIS,ARTS VISUELS,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,A-PLA,ARTS PLASTIQUES,F,FACULTATIF
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,LITSO,LITTÉRATURE  SOCIETE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,MUSIQ,MUSIQUE,F,FACULTATIF
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LCALA,LCA LATIN,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,LCALA,LCA LATIN,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LCALA,LCA LATIN,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,LITSO,LITTÉRATURE  SOCIETE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LITSO,LITTÉRATURE  SOCIETE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,A-VIS,ARTS VISUELS,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LITSO,LITTÉRATURE  SOCIETE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,A-SON,ARTS DU SON,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,A-SON,ARTS DU SON,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,LCALA,LCA LATIN,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,MP-SC,METHOD.PRAT.SCIENTIF,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,A-SON,ARTS DU SON,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
M,ALGERIE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,PORTUGAL,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,MEXIQUE,N,03/09/2018,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PFEG,PRINC.FOND. ECO.GEST,O,OBLIGATOIR,A-SON,ARTS DU SON,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/10/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,TOGO,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,07/11/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,MAROC,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,PORTUGAL,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,24/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,,,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,,,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,18/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,17/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,10/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,CONGO,N,03/09/2018,03/09/2018,N,0,EXTERN,,,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,RUSSIE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,03/09/2018,N,0,EXTERN,,,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
